#TLD: top
#Script/Language Identifier: ja
#Script/Language Description: Japanese
#Version: 1.0
#Effective Date: 2015-11-12
U+51ED	# CJK Ideograph
U+51F0	# CJK Ideograph
U+51F1	# CJK Ideograph
U+51F5	# CJK Ideograph
U+51F6	# CJK Ideograph
U+51F8	# CJK Ideograph
U+51F9	# CJK Ideograph
U+51FA	# CJK Ideograph
U+51FD	# CJK Ideograph
U+51FE	# CJK Ideograph
U+5200	# CJK Ideograph
U+5203	# CJK Ideograph
U+5204	# CJK Ideograph
U+5206	# CJK Ideograph
U+5207	# CJK Ideograph
U+5208	# CJK Ideograph
U+520A	# CJK Ideograph
U+520B	# CJK Ideograph
U+520E	# CJK Ideograph
U+5211	# CJK Ideograph
U+5214	# CJK Ideograph
U+5217	# CJK Ideograph
U+521D	# CJK Ideograph
U+5224	# CJK Ideograph
U+5225	# CJK Ideograph
U+5227	# CJK Ideograph
U+5229	# CJK Ideograph
U+522A	# CJK Ideograph
U+522E	# CJK Ideograph
U+5230	# CJK Ideograph
U+5233	# CJK Ideograph
U+5236	# CJK Ideograph
U+5237	# CJK Ideograph
U+5238	# CJK Ideograph
U+5239	# CJK Ideograph
U+523A	# CJK Ideograph
U+523B	# CJK Ideograph
U+5243	# CJK Ideograph
U+5244	# CJK Ideograph
U+5247	# CJK Ideograph
U+524A	# CJK Ideograph
U+524B	# CJK Ideograph
U+524C	# CJK Ideograph
U+524D	# CJK Ideograph
U+524F	# CJK Ideograph
U+5254	# CJK Ideograph
U+5256	# CJK Ideograph
U+525B	# CJK Ideograph
U+525E	# CJK Ideograph
U+5263	# CJK Ideograph
U+5264	# CJK Ideograph
U+5265	# CJK Ideograph
U+5269	# CJK Ideograph
U+526A	# CJK Ideograph
U+526F	# CJK Ideograph
U+5270	# CJK Ideograph
U+5271	# CJK Ideograph
U+5272	# CJK Ideograph
U+5273	# CJK Ideograph
U+5274	# CJK Ideograph
U+5275	# CJK Ideograph
U+527D	# CJK Ideograph
U+527F	# CJK Ideograph
U+5283	# CJK Ideograph
U+5287	# CJK Ideograph
U+5288	# CJK Ideograph
U+5289	# CJK Ideograph
U+528D	# CJK Ideograph
U+5291	# CJK Ideograph
U+5292	# CJK Ideograph
U+5294	# CJK Ideograph
U+529B	# CJK Ideograph
U+529F	# CJK Ideograph
U+52A0	# CJK Ideograph
U+52A3	# CJK Ideograph
U+52A9	# CJK Ideograph
U+52AA	# CJK Ideograph
U+52AB	# CJK Ideograph
U+52AC	# CJK Ideograph
U+52AD	# CJK Ideograph
U+52B1	# CJK Ideograph
U+52B4	# CJK Ideograph
U+52B5	# CJK Ideograph
U+52B9	# CJK Ideograph
U+52BC	# CJK Ideograph
U+52BE	# CJK Ideograph
U+52C1	# CJK Ideograph
U+52C3	# CJK Ideograph
U+52C5	# CJK Ideograph
U+52C7	# CJK Ideograph
U+52C9	# CJK Ideograph
U+52CD	# CJK Ideograph
U+52D2	# CJK Ideograph
U+52D5	# CJK Ideograph
U+52D7	# CJK Ideograph
U+52D8	# CJK Ideograph
U+52D9	# CJK Ideograph
U+52DD	# CJK Ideograph
U+52DE	# CJK Ideograph
U+52DF	# CJK Ideograph
U+52E0	# CJK Ideograph
U+52E2	# CJK Ideograph
U+52E3	# CJK Ideograph
U+52E4	# CJK Ideograph
U+52E6	# CJK Ideograph
U+52E7	# CJK Ideograph
U+52F2	# CJK Ideograph
U+52F3	# CJK Ideograph
U+52F5	# CJK Ideograph
U+52F8	# CJK Ideograph
U+52F9	# CJK Ideograph
U+52FA	# CJK Ideograph
U+52FE	# CJK Ideograph
U+52FF	# CJK Ideograph
U+5301	# CJK Ideograph
U+5302	# CJK Ideograph
U+5305	# CJK Ideograph
U+5306	# CJK Ideograph
U+5308	# CJK Ideograph
U+530D	# CJK Ideograph
U+530F	# CJK Ideograph
U+5310	# CJK Ideograph
U+5315	# CJK Ideograph
U+5316	# CJK Ideograph
U+5317	# CJK Ideograph
U+5319	# CJK Ideograph
U+531A	# CJK Ideograph
U+531D	# CJK Ideograph
U+5320	# CJK Ideograph
U+5321	# CJK Ideograph
U+5323	# CJK Ideograph
U+532A	# CJK Ideograph
U+532F	# CJK Ideograph
U+5331	# CJK Ideograph
U+5333	# CJK Ideograph
U+5338	# CJK Ideograph
U+5339	# CJK Ideograph
U+533A	# CJK Ideograph
U+533B	# CJK Ideograph
U+533F	# CJK Ideograph
U+5340	# CJK Ideograph
U+5341	# CJK Ideograph
U+5343	# CJK Ideograph
U+5345	# CJK Ideograph
U+5346	# CJK Ideograph
U+5347	# CJK Ideograph
U+5348	# CJK Ideograph
U+5349	# CJK Ideograph
U+534A	# CJK Ideograph
U+534D	# CJK Ideograph
U+5351	# CJK Ideograph
U+5352	# CJK Ideograph
U+5353	# CJK Ideograph
U+5354	# CJK Ideograph
U+5357	# CJK Ideograph
U+5358	# CJK Ideograph
U+535A	# CJK Ideograph
U+535C	# CJK Ideograph
U+535E	# CJK Ideograph
U+5360	# CJK Ideograph
U+5366	# CJK Ideograph
U+5369	# CJK Ideograph
U+536E	# CJK Ideograph
U+536F	# CJK Ideograph
U+5370	# CJK Ideograph
U+5371	# CJK Ideograph
U+5373	# CJK Ideograph
U+5374	# CJK Ideograph
U+5375	# CJK Ideograph
U+5377	# CJK Ideograph
U+5378	# CJK Ideograph
U+537B	# CJK Ideograph
U+537F	# CJK Ideograph
U+5382	# CJK Ideograph
U+5384	# CJK Ideograph
U+5396	# CJK Ideograph
U+5398	# CJK Ideograph
U+539A	# CJK Ideograph
U+539F	# CJK Ideograph
U+53A0	# CJK Ideograph
U+53A5	# CJK Ideograph
U+53A6	# CJK Ideograph
U+53A8	# CJK Ideograph
U+53A9	# CJK Ideograph
U+53AD	# CJK Ideograph
U+53AE	# CJK Ideograph
U+53B0	# CJK Ideograph
U+53B3	# CJK Ideograph
U+53B6	# CJK Ideograph
U+53BB	# CJK Ideograph
U+53C2	# CJK Ideograph
U+53C3	# CJK Ideograph
U+53C8	# CJK Ideograph
U+53C9	# CJK Ideograph
U+53CA	# CJK Ideograph
U+53CB	# CJK Ideograph
U+53CC	# CJK Ideograph
U+53CD	# CJK Ideograph
U+53CE	# CJK Ideograph
U+53D4	# CJK Ideograph
U+53D6	# CJK Ideograph
U+53D7	# CJK Ideograph
U+53D9	# CJK Ideograph
U+53DB	# CJK Ideograph
